id,labels,properties,subtypeof,type,is_basetype
1,Resource,name:uri,,T1,yes
2,Resource,uri:?aSide:?abbreviation:?abolished:?abrogation:?acteur:?address:?adresse:?affairesCourantes:?affiInternationale:?affiliates:?affiliations:?affluence:?after:?agencyName:?agencyType:?airdate:?aka:?album:?alias:?align:?alignt:?allégeance:?almaMater:?alt:?altdates:?altitude:?altname:?an:?ancienNom:?année:?annéeDeDissolution:?annéeDeFondation:?annéeDeSortie:?annéeMiss:?annéePop:?annéesActives:?annéesD'activité:?apparentés:?après:?arbitre:?area:?arena:?arms:?artist:?as:?assembly:?associatedActs:?attendance:?auteur:?autre:?avant:?awards:?bSide:?background:?badgeSize:?base:?basinCountries:?bat:?before:?began:?bestFinish:?bgColor:?bgcolor:?birthDate:?birthName:?birthPlace:?birthdate:?birthname:?blason:?body:?bodyStyle:?books:?border:?boxWidth:?budget:?built:?burialPlace:?business:?buts:?campus:?candidates:?canton:?capacity:?captain:?caption:?captionAlign:?cardinalName:?carte:?casus:?cat:?centre:?ceo:?character:?charte:?charteCouleur:?chef:?chefActuel:?children:?circonscription:?city:?clasps:?class:?classWins:?classement:?close:?closed:?clot:?clubname:?clubs:?cnt:?coach:?coalition:?coasters:?coatOfArms:?coatofarms:?collaborations:?colonnes:?color:?colorcode:?colors:?colour:?colourText:?colours:?cols:?colwidth:?combatant:?combattants:?commandant:?commander:?commons:?commonsTitre:?communes:?company:?companyCaption:?compositeur:?conditionVigueur:?confed:?conflit:?congeniality:?connections:?consecratedDate:?consort:?consultéLe:?contenu:?continent:?contrôle:?contrôleurs:?coprésidents:?coronation:?couleur:?couleurBoîte:?couleurfamille:?couleurs:?countries:?country:?coursesGagnées:?cover:?cpu:?creation:?creators:?critique:?création:?culturalOrigins:?current:?currentMembers:?currentSeason:?data:?date:?dateAlbumPréc:?dateAlbumSuiv:?dateDeCréation:?dateDeDécès:?dateDeMort:?dateDeNaissance:?dateDeSignature:?dateDuPremierJeu:?dateNaissance:?dateOfBirth:?dateOfBurial:?dateSinglePréc:?dateSingleSuiv:?dateparution:?datepop:?dates:?datesClés:?deathDate:?deathPlace:?debut:?defuct:?defunct:?dens:?departments:?deposition:?depuis:?depuisLeFonction:?dernièreVersion:?dernièreVersionStable:?description:?dessinateurs:?developer:?df:?diffusion:?diffusionAm:?diplôme:?dipstyle:?dir:?directeurGénéral:?direction:?disestablished:?disparition:?disparuEn:?dissolution:?dissolved:?distributor:?district:?divisions:?doctoralStudents:?durée:?duréeMandat:?début:?débutDuProjet:?décernéPour:?décès:?dénominationChef:?déposition:?dépositions:?dérivés:?développeurs:?effectifs:?el:?eligibility:?employees:?ended:?enfants:?enfantsMari:?engine:?enregistré:?enregistréLieu:?entrants:?entraîneursAssociés:?environnements:?era:?established:?estate:?eva:?event:?events:?exMembres:?expiry:?externalLinks:?faceA:?faceB:?fam:?family:?fate:?femmes:?fideid:?field:?fifaAffiliation:?fileExt:?filename:?filiale:?fin:?first:?firstAward:?flag:?float:?folded:?fonc.Civiles:?fonc.Militaires:?fonction:?fondateur:?fondation:?fondéEn:?footnotes:?for:?format:?formatD'image:?formation:?formed:?formerCallsigns:?formerNames:?foundation:?founded:?founder:?founders:?foundingYear:?fr:?fratrie:?freq:?frequence:?frequency:?fromAlbum:?fullName:?fullname:?fusiongenres:?genre:?genresAssociés:?genresDérivés:?givenName:?gm:?goals:?governmentName:?gpu:?grade:?graves:?gross:?group:?groupe:?guerre:?géolocalisation:?headCoach:?header:?headerstyle:?headquarters:?hectares:?height:?hero:?heure:?higher:?hommage:?hommes:?honneurs:?house:?houseType:?hérétiques:?icon:?icone:?iconeg:?id:?idéesRemarquables:?idéologie:?ietf:?image:?imageBathymetry:?imageBg:?imageCaption:?imageMap:?imageName:?imageSize:?imageTaille:?imageloc:?imagesize:?imageÉquipage:?implementations:?imprints:?inaccurate:?includedWith:?incumbentsince:?independence:?indic:?industry:?influenced:?influences:?insee:?insigne:?insignia:?insigniasize:?instrument:?instruments:?interments:?islands:?islandsCategory:?iso:?iso15924Note:?issue:?jeuPhare:?keyPeople:?keypeople:?km²_:?knownFor:?label:?lancement:?landscape:?lang:?langs:?language:?languages:?langue:?langueDuTitre:?langues:?lastAlbum:?lastSingle:?latestReleaseVersion:?latitude:?lau:?layout:?leader:?leader1Title:?leader2Title:?leaderName:?leaderTitle:?league:?length:?lengthKm:?lengthNotes:?level:?levels:?licence:?licenciés:?license:?lieu:?lieuDeDécès:?lieuDeNaissance:?ligue:?linelength:?lingua:?list:?liste:?locale:?location:?locationCity:?locationCountry:?locuteurs:?logo:?logoCaption:?logoLégende:?logoTaille:?logosize:?longitude:?longueur:?lower:?luxname:?légende:?légendeImage:?légendeÉquipage:?législature:?mainEvent:?mainInterests:?maisonDeDisques:?mandant:?mandat:?mapCaption:?mapType:?mapr:?march:?mari:?matches:?mediaType:?members:?membership:?membre:?membresActuels:?minister1Party:?minister1Pfo:?minister1Termend:?minister1Termstart:?ministres:?misc:?mission:?mode:?monarch:?mostChamps:?moteurDeJeu:?motto:?mouthLocation:?mémoire:?naissance:?name:?nameEnglish:?nameNative:?names:?nationality:?nationalité:?nations:?nativeName:?nativeNameLang:?nativename:?nbSaisons:?nbca:?nbco:?nbcomm:?nbÉpisodes:?netWorth:?next:?nextAlbum:?nextNo:?nextSingle:?nextseason:?nick:?nickname:?nir:?niveau:?noimage:?nom:?nomAlias:?nomDeNaissance:?nomSpectacle:?nomTitre:?nomarr:?nombre:?nombreD'albums:?nomes:?nomsMembresAssemblée:?nord:?notableIdeas:?notableworks:?note:?npy:?numEmployees:?numberOfTeams:?numeros:?numéroPistePréc:?occupation:?oeuvre:?office:?offstyle:?oldid:?open:?opened:?operated:?operatingSystem:?option:?order:?origin:?origine:?originesCulturelles:?originesStylistiques:?otherNames:?otherTopics:?othername:?ouest:?ouvert:?ouverture:?owner:?owners:?page:?paradigm:?paramilitaryWing:?parent:?parents:?parlement:?parliament:?parlée:?parti:?partiav:?participants:?partis:?partner:?party:?partyColour:?partyLogo:?partyName:?partyWikicolourid:?pastMembers:?patinoire:?pays:?paysD'origine:?penalties:?penaltyscore:?period:?persoPrincipaux:?personnagesClés:?photo:?piste:?pistePrécédente:?pisteSuivante:?pixels:?placements:?platform:?pop:?popDate:?popplace:?poptime:?poptot:?popularity:?popularité:?population:?portrayer:?possessions:?post:?poststation:?ppvPrécédent:?predecessor:?prefet:?premTitulaire:?premierJeu:?premierVol:?premièreApparition:?president:?prestation:?prestavanger:?prev:?prevNo:?prevseason:?prix:?prizes:?producer:?producteur:?production:?products:?produits:?profession:?propriétaire:?province:?prés:?président:?pubDate:?publications:?published:?publisher:?père:?période:?rang:?rangNationalité:?reFounded:?realm:?reason:?recognition:?recorded:?rector:?ref:?referee:?regType:?regent:?region:?regionAffiliation:?reign:?reignType:?related:?relatedC:?relatives:?released:?religion:?religions:?rels:?renomméPour:?residenceTime:?restingPlace:?result:?retired:?rev:?rides:?riverName:?roches:?role:?rows:?royalHouse:?royalTitle:?rules:?runtime:?régime:?région:?résidenceOfficielle:?saison:?saisonEnCours:?saisonEntraîneur:?salaire:?salary:?sample:?sampleDesc:?schoolTradition:?score:?screenshot:?sct:?scènesRégionales:?scénario:?seal:?sealWidth:?season:?seatingCapacity:?secGen:?secteursD'activités:?see:?selection:?serviceDescription:?shortDescription:?showName:?sigle:?signature:?significantother:?single:?singlePrécédent:?sisters:?site:?siteWeb:?size:?siège:?siège(pays)_:?slogan:?small:?sorti:?sortkey:?sousGenres:?sp:?species:?spectateurs:?speed:?spouse:?spouses:?stade:?stadium:?stadiumName:?staff:?start:?state:?stations:?status:?statut:?statutDesJoueurs:?stockage:?strength:?students:?style:?stylisticOrigins:?subcat:?subgenrelist:?subgenres:?subregionAffiliation:?subsid:?successor:?sud:?superf:?superficie:?suppl:?surface:?surname:?surnom:?sériesNotables:?tagline:?taille:?tailleImage:?tailleLogo:?team:?teams:?tel:?temps:?tenants:?term:?termEnd:?termStart:?termlength:?textColor:?texte:?theme:?thisAlbum:?thisSingle:?time:?title:?titles:?titlestyle:?titre:?titreChef:?titreDirigeant:?titreOrig:?titulaireActuel:?totalGoals:?totalWidth:?trackNo:?tracks:?trad:?tradingName:?traducteur:?trans:?transmission:?tv:?type:?typebie:?undergrad:?unicode:?uniform:?unitName:?update:?updated:?upright:?url:?usa:?valeur:?ventes:?venue:?vicePresident:?villain:?ville:?visitors:?voirAussi:?volume:?vote:?voy:?website:?width:?wikibooks:?wikiquote:?wikiquoteTitre:?wikt:?wiktionary:?winner:?wls:?workInstitution:?writer:?wstitle:?year:?years:?yearsActive:?zip:?éditeur:?électeurs:?électeursDate:?élection:?élections:?éligibilité:?époque:?équipage:?équipe:?équipeAffiliée:?équipes,1,T2,no
3,Resource,uri:?after:?alt:?altitude:?ancienNom:?année:?annéeDeFondation:?annéesActives:?apparentés:?après:?avant:?background:?before:?bestFinish:?bgcolor:?birthDate:?birthName:?capacity:?caption:?charte:?class:?classWins:?clubname:?coalition:?color:?commons:?commonsTitre:?continent:?couleur:?couleurs:?country:?création:?current:?data:?date:?dates:?deathDate:?defunct:?depuis:?direction:?disparition:?distributor:?durée:?début:?décès:?dérivés:?enregistré:?fam:?femmes:?filiale:?fin:?first:?fondateur:?fondation:?fondéEn:?footnotes:?format:?foundation:?founded:?founder:?fr:?fratrie:?frequence:?genre:?genresAssociés:?genresDérivés:?group:?header:?headerstyle:?headquarters:?hommes:?icone:?iconeg:?id:?imageBg:?imageName:?imageSize:?imagesize:?imprints:?independence:?instruments:?iso:?jeuPhare:?label:?lang:?languages:?langue:?langues:?latitude:?length:?location:?locationCity:?logo:?logoLégende:?longitude:?légende:?maisonDeDisques:?mari:?name:?netWorth:?nom:?nomSpectacle:?nord:?numberOfTeams:?opened:?originesCulturelles:?ouest:?page:?parent:?parlement:?pays:?paysD'origine:?pop:?poptot:?popularity:?popularité:?population:?prefet:?producer:?producteur:?président:?publications:?période:?reason:?recorded:?released:?religion:?rels:?rows:?sample:?scènesRégionales:?showName:?siège:?sorti:?spectateurs:?status:?statut:?sud:?surface:?teams:?tel:?tenants:?texte:?time:?title:?titre:?trad:?type:?unitName:?updated:?upright:?url:?ville:?volume:?wstitle:?years:?yearsActive:?époque,2,T3,no
4,Resource,uri:?after:?altitude:?ancienNom:?année:?annéeDeFondation:?annéesActives:?apparentés:?après:?avant:?background:?before:?bestFinish:?bgcolor:?birthDate:?birthName:?capacity:?caption:?charte:?class:?classWins:?clubname:?coalition:?color:?commons:?commonsTitre:?continent:?couleur:?couleurs:?country:?création:?current:?data:?date:?dates:?deathDate:?defunct:?depuis:?direction:?disparition:?distributor:?durée:?début:?décès:?enregistré:?fam:?femmes:?filiale:?fin:?first:?fondateur:?fondation:?fondéEn:?footnotes:?format:?founded:?founder:?fr:?fratrie:?frequence:?genre:?genresAssociés:?genresDérivés:?group:?header:?headerstyle:?headquarters:?hommes:?icone:?iconeg:?id:?imageBg:?imageName:?imageSize:?imagesize:?imprints:?independence:?instruments:?iso:?jeuPhare:?label:?lang:?languages:?langue:?langues:?latitude:?length:?location:?locationCity:?logo:?logoLégende:?longitude:?légende:?maisonDeDisques:?mari:?name:?netWorth:?nom:?nomSpectacle:?numberOfTeams:?opened:?originesCulturelles:?ouest:?page:?parent:?parlement:?pays:?paysD'origine:?pop:?poptot:?popularity:?popularité:?population:?prefet:?producer:?producteur:?président:?publications:?période:?reason:?recorded:?released:?religion:?rels:?rows:?sample:?scènesRégionales:?showName:?siège:?sorti:?spectateurs:?status:?statut:?sud:?surface:?teams:?tenants:?texte:?time:?title:?titre:?trad:?type:?unitName:?updated:?upright:?url:?ville:?volume:?wstitle:?years:?yearsActive:?époque,3,T4,no
5,Resource,uri:?ancienNom:?année:?annéeDeFondation:?annéesActives:?après:?avant:?background:?bestFinish:?bgcolor:?birthDate:?birthName:?capacity:?caption:?charte:?classWins:?coalition:?color:?couleur:?couleurs:?country:?création:?current:?data:?date:?dates:?defunct:?depuis:?direction:?distributor:?durée:?début:?enregistré:?femmes:?filiale:?fin:?fondateur:?fondation:?fondéEn:?format:?founded:?founder:?fr:?frequence:?genre:?genresAssociés:?genresDérivés:?group:?header:?headerstyle:?headquarters:?hommes:?icone:?imageBg:?imageName:?imagesize:?instruments:?jeuPhare:?label:?lang:?langue:?latitude:?length:?location:?locationCity:?logo:?logoLégende:?longitude:?légende:?maisonDeDisques:?name:?nom:?nomSpectacle:?numberOfTeams:?opened:?parent:?parlement:?pays:?paysD'origine:?popularity:?popularité:?population:?prefet:?producer:?président:?recorded:?released:?rels:?sample:?siège:?sorti:?spectateurs:?status:?statut:?surface:?texte:?time:?title:?titre:?trad:?type:?unitName:?updated:?upright:?url:?years:?yearsActive:?époque,4,T5,no
6,Resource,uri:?ancienNom:?année:?annéeDeFondation:?annéesActives:?après:?avant:?bgcolor:?birthDate:?capacity:?charte:?coalition:?color:?couleur:?couleurs:?country:?création:?current:?data:?date:?defunct:?direction:?durée:?début:?enregistré:?fin:?fondateur:?fondation:?fondéEn:?founded:?founder:?fr:?genre:?genresAssociés:?genresDérivés:?header:?headerstyle:?headquarters:?icone:?imageBg:?imageName:?instruments:?label:?lang:?langue:?latitude:?length:?logo:?logoLégende:?longitude:?légende:?maisonDeDisques:?name:?nom:?nomSpectacle:?numberOfTeams:?opened:?parent:?parlement:?pays:?popularity:?popularité:?prefet:?producer:?président:?recorded:?released:?siège:?sorti:?spectateurs:?status:?surface:?texte:?titre:?trad:?updated:?url:?years:?époque,5,T6,no
7,Resource,uri:?background:?bestFinish:?birthDate:?birthName:?caption:?classWins:?couleurs:?country:?création:?date:?dates:?depuis:?distributor:?début:?femmes:?filiale:?fin:?fondéEn:?format:?founded:?founder:?frequence:?genre:?group:?hommes:?imageBg:?imagesize:?instruments:?jeuPhare:?location:?locationCity:?logo:?légende:?name:?nom:?pays:?paysD'origine:?popularité:?population:?rels:?sample:?siège:?status:?statut:?time:?title:?titre:?type:?unitName:?upright:?years:?yearsActive,5,T7,no
8,Resource,uri:?background:?caption:?country:?création:?date:?dates:?depuis:?distributor:?début:?femmes:?fin:?fondéEn:?format:?founded:?founder:?frequence:?genre:?hommes:?imageBg:?jeuPhare:?location:?locationCity:?logo:?légende:?name:?nom:?paysD'origine:?status:?titre:?type:?unitName:?yearsActive,7,T8,no
9,Resource,uri:?bestFinish:?birthDate:?birthName:?classWins:?couleurs:?début:?filiale:?fin:?fondéEn:?founded:?founder:?genre:?group:?imageBg:?imagesize:?instruments:?logo:?légende:?name:?nom:?pays:?popularité:?population:?rels:?sample:?siège:?statut:?time:?title:?titre:?upright:?years:?yearsActive,7,T9,no
10,Resource,uri:?after:?altitude:?apparentés:?après:?avant:?before:?birthDate:?capacity:?caption:?charte:?class:?clubname:?commons:?commonsTitre:?continent:?couleur:?country:?création:?data:?date:?deathDate:?depuis:?disparition:?distributor:?début:?décès:?fam:?femmes:?filiale:?fin:?first:?fondateur:?fondéEn:?footnotes:?founded:?founder:?fr:?fratrie:?genre:?hommes:?iconeg:?id:?imageBg:?imageName:?imageSize:?imagesize:?imprints:?independence:?instruments:?iso:?label:?lang:?languages:?langues:?location:?logo:?légende:?mari:?name:?netWorth:?nom:?originesCulturelles:?ouest:?page:?parent:?parlement:?pays:?pop:?poptot:?popularité:?producteur:?publications:?période:?reason:?religion:?rows:?sample:?scènesRégionales:?showName:?siège:?sorti:?status:?statut:?sud:?teams:?tenants:?time:?title:?titre:?type:?ville:?volume:?wstitle:?years:?époque,4,T10,no
